id;dominio;controle;metodo;status;evidencia;observacao
DUCK-0001;Identidade visual;presença funcional;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0002;Identidade visual;presença funcional;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0003;Identidade visual;presença funcional;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0004;Identidade visual;presença funcional;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0005;Identidade visual;presença funcional;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0006;Identidade visual;consistência de estados;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0007;Identidade visual;consistência de estados;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0008;Identidade visual;consistência de estados;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0009;Identidade visual;consistência de estados;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0010;Identidade visual;consistência de estados;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0011;Identidade visual;clareza de feedback;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0012;Identidade visual;clareza de feedback;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0013;Identidade visual;clareza de feedback;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0014;Identidade visual;clareza de feedback;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0015;Identidade visual;clareza de feedback;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0016;Identidade visual;tratamento de erro;inspeção estática;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0017;Identidade visual;tratamento de erro;prova estrutural;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0018;Identidade visual;tratamento de erro;evidência disponível;CONFIRMADO_ESTATICO;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0019;Identidade visual;tratamento de erro;limite operacional;PARCIAL;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
DUCK-0020;Identidade visual;tratamento de erro;aceitação de entrega;REVISAO_HUMANA;manual-assets/cover.png;Matriz automatizada de cobertura. CONFIRMADO_ESTATICO não equivale a teste manual nem a aceitação em hardware real.
